date,close,open,high,low,vol,var
29.12.2015,"1787,7",1745,1800,"1706,6","0,11K","2,45%"
28.12.2015,1745,1770,1780,1720,"0,06K","-1,41%"
27.12.2015,1770,1761,1801,1750,"0,03K","0,51%"
26.12.2015,1761,"1876,9","1876,9",1761,"0,04K","-6,17%"
25.12.2015,"1876,9","1850,9",1879,1850,"0,02K","1,41%"
24.12.2015,"1850,9","1829,4",1888,"1829,4","0,04K","1,17%"
23.12.2015,"1829,4","1864,9",1890,1822,"0,10K","-1,90%"
22.12.2015,"1864,9","1857,6",1870,1822,"0,07K","0,39%"
21.12.2015,"1857,6",1849,1889,1743,"0,15K","0,46%"
20.12.2015,1849,"1929,3","1929,3",1823,"0,05K","-4,16%"
19.12.2015,"1929,3","1863,1","1942,8","1863,1","0,04K","3,56%"
18.12.2015,"1863,1",1885,1895,1842,"0,10K","-1,16%"
17.12.2015,1885,1810,1890,"1783,3","0,13K","4,14%"
16.12.2015,1810,1849,1855,1780,"0,18K","-2,11%"
15.12.2015,1849,1760,1849,"1711,1","0,21K","5,06%"
14.12.2015,1760,1700,"1785,3",1700,"0,09K","3,53%"
13.12.2015,1700,1680,"1756,8",1680,"0,07K","1,19%"
12.12.2015,1680,1799,1849,1627,"0,08K","-6,56%"
11.12.2015,1798,1674,"1799,5","1651,8","0,16K","7,41%"
10.12.2015,1674,1669,1674,1616,"0,12K","0,30%"
09.12.2015,1669,1606,1680,1600,"0,12K","6,80%"
08.12.2015,"1562,7",1575,1635,"1539,6","0,11K","-0,78%"
07.12.2015,1575,1539,1580,"1501,1","0,08K","2,34%"
06.12.2015,1539,1500,"1543,3",1484,"0,10K","2,60%"
05.12.2015,1500,1473,1500,"1457,8","0,04K","1,83%"
04.12.2015,1473,"1474,4",1475,"1416,1","0,07K","-0,09%"
03.12.2015,"1474,4","1469,9",1490,"1431,1","0,09K","0,30%"
02.12.2015,"1469,9",1472,1491,1411,"0,08K","-0,14%"
01.12.2015,1472,"1516,9",1519,1410,"0,11K","-2,96%"
30.11.2015,"1516,9",1436,1525,1436,"0,13K","5,63%"
29.11.2015,1436,1419,1550,1381,"0,04K","1,20%"
28.11.2015,1419,"1434,9",1436,1368,"0,09K","-1,11%"
27.11.2015,"1434,9",1397,1440,"1369,2","0,07K","2,71%"
26.11.2015,1397,"1286,2",1414,1274,"0,15K","8,61%"
25.11.2015,"1286,2",1249,1365,1200,"0,22K","2,98%"
24.11.2015,1249,1257,1350,1230,"0,13K","-0,64%"
23.11.2015,1257,1254,1263,1216,"0,10K","0,24%"
22.11.2015,1254,"1269,9",1277,1254,"0,01K","-1,25%"
21.11.2015,"1269,9","1237,3",1279,1200,"0,05K","2,63%"
20.11.2015,"1237,3",1285,1289,1223,"0,05K","-3,71%"
19.11.2015,1285,1307,1325,1280,"0,10K","-1,68%"
18.11.2015,1307,"1328,5","1337,1",1290,"0,05K","-1,62%"
17.11.2015,"1328,5",1291,1329,"1284,4","0,05K","2,90%"
16.11.2015,1291,1318,"1318,5",1240,"0,12K","-2,05%"
15.11.2015,1318,1330,"1342,4","1280,1","0,03K","-0,90%"
14.11.2015,1330,1320,1330,"1300,9","0,03K","0,76%"
13.11.2015,1320,"1366,7",1367,"1295,8","0,09K","-3,41%"
12.11.2015,"1366,7",1267,1410,1200,"0,13K","7,87%"
11.11.2015,1267,1340,"1365,1",1161,"0,13K","-5,45%"
10.11.2015,1340,"1493,4","1493,4",1300,"0,14K","-10,27%"
09.11.2015,"1493,4","1440,9","1493,4",1400,"0,09K","3,64%"
08.11.2015,"1440,9",1445,1465,"1411,2","0,02K","-0,28%"
07.11.2015,1445,1400,1445,"1376,5","0,06K","3,21%"
06.11.2015,1400,"1516,1",1535,"1371,5","0,17K","-7,66%"
05.11.2015,"1516,1",1530,"1729,9",1489,"0,19K","-0,91%"
04.11.2015,1530,1538,"1865,6",1490,"0,44K","-0,52%"
03.11.2015,1538,1320,"1638,1","1310,1","0,35K","16,51%"
02.11.2015,1320,1240,1340,"1233,1","0,09K","6,45%"
01.11.2015,1240,1220,1260,1220,"0,04K","1,64%"
31.10.2015,1220,1268,1290,1215,"0,10K","-3,79%"
30.10.2015,1268,1230,"1298,4","1220,5","0,12K","3,09%"
29.10.2015,1230,"1170,7","1250,1",1170,"0,16K","5,07%"
28.10.2015,"1170,7","1166,7","1187,2",1151,"0,13K","0,35%"
27.10.2015,"1166,7",1148,1169,"1138,6","0,09K","1,63%"
26.10.2015,1148,1140,1150,1118,"0,05K","0,70%"
25.10.2015,1140,1090,"1196,8",1085,"0,09K","4,59%"
24.10.2015,1090,1090,1100,1071,"0,03K","0,00%"
23.10.2015,1090,"1067,9","1096,7",1056,"0,06K","2,07%"
22.10.2015,"1067,9","1060,1","1069,1","1042,3","0,05K","0,74%"
21.10.2015,"1060,1",1052,1078,1033,"0,13K","0,77%"
20.10.2015,1052,1027,"1079,8",1020,"0,13K","2,43%"
19.10.2015,1027,1050,1050,1024,"0,10K","-2,19%"
18.10.2015,1050,1051,1069,"1020,1","0,03K","-0,10%"
17.10.2015,1051,"1043,1",1080,1037,"0,09K","0,76%"
16.10.2015,"1043,1",1025,1088,1011,"0,12K","3,17%"
15.10.2015,1011,1010,1030,"1000,1","0,14K","0,10%"
14.10.2015,1010,1008,"1017,1","998,4","0,09K","0,20%"
13.10.2015,1008,1008,1010,"996,5","0,09K","0,00%"
12.10.2015,1008,1004,1009,"997,5","0,04K","0,40%"
11.10.2015,1004,1000,1008,998,"0,01K","0,40%"
10.10.2015,1000,1008,1008,"997,5","0,01K","-0,79%"
09.10.2015,1008,"1008,1","1009,3",995,"0,06K","-0,01%"
08.10.2015,"1008,1","999,9",1010,995,"0,06K","0,82%"
07.10.2015,"999,9",1005,1012,"994,1","0,07K","-0,51%"
06.10.2015,1005,993,1005,980,"0,09K","1,21%"
05.10.2015,993,990,993,978,"0,09K","0,30%"
04.10.2015,990,990,990,"983,5","0,01K","0,00%"
03.10.2015,990,995,1000,977,"0,02K","-0,50%"
02.10.2015,995,999,1005,972,"0,13K","-0,40%"
01.10.2015,999,"993,3",1005,"980,1","0,12K","0,57%"
30.09.2015,"993,3","995,9","1008,7","993,3","0,10K","-0,25%"
29.09.2015,"995,9","1003,1",1010,"990,2","0,12K","-0,72%"
28.09.2015,"1003,1","977,8",1006,"967,7","0,20K","2,58%"
27.09.2015,"977,8",982,982,"967,5","0,00K","-0,43%"
26.09.2015,982,984,986,"966,1","0,02K","-0,20%"
25.09.2015,984,"988,4","988,4","966,1","0,12K","-0,45%"
24.09.2015,"988,4","970,6",1007,"966,1","0,14K","1,84%"
23.09.2015,"970,6",960,1000,"949,2","0,20K","1,10%"
22.09.2015,960,945,969,"936,2","0,17K","1,59%"
21.09.2015,945,"951,5","969,4",925,"0,19K","-0,68%"
20.09.2015,"951,5","950,7",959,"932,3","0,04K","0,08%"
19.09.2015,"950,7","965,8","969,9","931,9","0,05K","-1,56%"
18.09.2015,"965,8",945,970,945,"0,08K","2,20%"
17.09.2015,945,"931,8",955,"918,7","0,11K","1,42%"
16.09.2015,"931,8","915,1","937,3",911,"0,11K","1,82%"
15.09.2015,"915,1",929,"937,3",910,"0,12K","-1,50%"
14.09.2015,929,"955,3","955,3","923,6","0,12K","-2,76%"
13.09.2015,"955,3","958,8","958,8","933,1","0,03K","-0,36%"
12.09.2015,"958,8","968,6","970,1","945,5","0,05K","-1,01%"
11.09.2015,"968,6","955,4",972,"955,1","0,13K","1,38%"
10.09.2015,"955,4",950,975,944,"0,14K","0,57%"
09.09.2015,950,"946,5","959,8",942,"0,14K","0,37%"
08.09.2015,"946,5","949,9",955,930,"0,10K","-0,35%"
07.09.2015,"949,9",935,950,"934,4","0,02K","1,59%"
06.09.2015,935,"925,2",950,"925,2","0,02K","1,06%"
05.09.2015,"925,2","932,1",942,909,"0,06K","-0,74%"
04.09.2015,"932,1",893,"953,9",882,"0,09K","4,38%"
03.09.2015,893,"892,3",910,"881,4","0,18K","0,08%"
02.09.2015,"892,3",880,"907,7",875,"0,13K","1,40%"
01.09.2015,880,"891,9",900,"865,2","0,14K","-1,33%"
31.08.2015,"891,9","872,6","891,9",858,"0,09K","2,21%"
30.08.2015,"872,6",854,900,848,"0,07K","2,18%"
29.08.2015,854,873,"888,8",848,"0,05K","-2,18%"
28.08.2015,873,"868,1","888,8","825,1","0,15K","0,56%"
27.08.2015,"868,1",878,878,851,"0,06K","-1,24%"
26.08.2015,879,"865,9",900,"832,5","0,13K","1,52%"
25.08.2015,"865,9",840,870,"780,1","0,28K","3,08%"
24.08.2015,840,"886,2","893,3",840,"0,10K","-5,21%"
23.08.2015,"886,2",890,895,869,"0,04K","-0,43%"
22.08.2015,890,910,910,"884,4","0,02K","-2,20%"
21.08.2015,910,"901,6",910,"870,2","0,08K","0,93%"
20.08.2015,"901,6","865,7",913,840,"0,10K","4,14%"
19.08.2015,"865,7",931,940,"761,1","0,34K","-7,01%"
18.08.2015,931,950,"958,3",931,"0,09K","-2,00%"
17.08.2015,950,970,970,"944,7","0,06K","-2,06%"
16.08.2015,970,960,"972,4","946,2","0,05K","1,04%"
15.08.2015,960,980,980,960,"0,03K","-2,04%"
14.08.2015,980,965,"980,6","957,8","0,06K","1,55%"
13.08.2015,965,978,978,"955,3","0,05K","-1,33%"
12.08.2015,978,970,978,957,"0,07K","0,82%"
11.08.2015,970,"966,4",978,951,"0,09K","0,37%"
10.08.2015,"966,4","968,6","974,2","940,1","0,07K","-0,23%"
